what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1286206222587
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1286206222604
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1286206222616
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.300.v20100513-0845,"org.eclipse.jdt.apt.pluggable.core",1286206222617
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1286206222626
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1286206222627
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1286206222645
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1286206222645
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1286206222663
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1286206222664
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1286206222679
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1286206222680
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1286206222690
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1286206222701
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1286206222701
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1286206222703
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1286206222709
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1286206222712
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1286206222713
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1286206222757
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1286206222758
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1286206222775
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1286206222784
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1286206222789
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1286206222798
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1286206222806
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1286206222824
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1286206222825
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1286206222825
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1286206222843
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1286206222856
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1286206222858
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1286206222863
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1286206222880
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1286206222882
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1286206222884
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1286206222886
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1286206222887
os,sysinfo,,,"win32",1286206222890
arch,sysinfo,,,"x86",1286206222890
ws,sysinfo,,,"win32",1286206222890
locale,sysinfo,,,"en_US",1286206222890
processors,sysinfo,,,"4",1286206222890
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1286206222890
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1286206222890
java.specification.name,sysinfo,,,"Java Platform API Specification",1286206222890
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1286206222890
java.specification.version,sysinfo,,,"1.6",1286206222890
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1286206222890
java.version,sysinfo,,,"1.6.0_18",1286206222890
java.vm.info,sysinfo,,,"mixed mode, sharing",1286206222890
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1286206222890
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1286206222890
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1286206222890
java.vm.specification.version,sysinfo,,,"1.0",1286206222890
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1286206222890
java.vm.version,sysinfo,,,"16.0-b13",1286206222890
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1286206223900
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286206224605
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207192055
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1286207194738
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1286207194996
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1286207195105
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1286207195105
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1286207203301
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1286207205877
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286207207372
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207211332
