100,10,150,-1,1.3,0,1,0.99,0.6,0.1
1000,1,150,-1,1,0,1,0.98,0.6,0.07
100,10,200,-2,1.8,0,1,0.95,0.6,0.01
100,1,150,-2,1.9,0,1,0.98,0.6,0.02
100,1,150,-2,1.8,0,1,0.98,0.6,0.01
100000,1,100,-1,1.2,0,1,0.95,0.6,0.09
100,1,150,-2,2,0,1,0.99,0.5,0.03
100,10,150,-1,1.3,0,1,0.98,0.5,0.1
100,1,100,-1,1,0,1,0.98,0.5,0.1
100,1,50,-3,2.8,0,1,0.98,0.5,0.03
100,1,100,-2,1.6,0,1,0.95,0.5,0
100,10,50,-1,0.7,0,1,0.99,0.5,0.1
100,1,150,-1,0.6,0,1,0.99,0.5,0.1
100,100,50,-2,1.8,0,1,0.95,0.5,0.03
100,1,150,-1,1.1,0,1,0.98,0.5,0.1
100,1,100,-2,2.5,0,1,0.98,0.5,0.02
100,10,150,-1,1.1,0,1,0.98,0.5,0.1
10000,1,150,-1,1.2,0,1,0.98,0.5,0.1
100,1,50,0,0.8,0,1,0.98,0.5,0.2
1000,10,200,-1,1.4,0,1,0.98,0.5,0.01
100,1,150,-2,2.2,0,1,0.9,0.5,0
1000,10,150,-2,2.2,0,1,0.95,0.5,0
100,1,150,-1,0.7,0,1,0.85,0.5,0
100,1,150,-1,1,0,1,0.99,0.5,0.1
1000,1,150,-1,1.4,0,1,0.85,0.5,0
100,1,150,0,1.1,0,1,0.98,0.5,0.1
100,1,200,-1,1.5,0,1,0.9,0.5,0
100,1,150,-1,1.2,0,1,0.98,0.5,0.1
100,1,100,-1,1.6,0,1,0.98,0.5,0.06
100,1,50,-2,1.7,0,1,0.9,0.5,0
100,1,150,-1,1.2,0,1,0.98,0.5,0.1
1000,1,150,-1,1.5,0,1,0.98,0.5,0.05
100,1,50,-1,1.3,0,1,0.99,0.5,0.03
100,1,200,-2,1.9,0,1,0.9,0.5,0
1000,1,100,-2,1.6,0,1,0.98,0.5,0.02
100,1,100,-1,0.9,0,1,0.95,0.5,0.07
100,1,100,0,0.5,1,1,0.99,0.5,0.2
100,1,50,0,0.6,1,1,0.98,0.5,0.2
1000,1,0,0,0.6,1,1,0.99,0.5,0.2
100,1,150,-1,1.2,0,1,0.98,0.5,0.09
1000,1,50,-1,0.9,0,1,0.8,0.5,0
1000,1,150,-2,1.8,0,1,0.98,0.5,0.01
1000,1,200,-3,2.4,0,1,0.85,0.5,0
100,1,100,-2,1.7,0,1,0.85,0.5,0
100,10,150,-1,1.3,0,1,0.98,0.5,0.07
